DOCUMENTO;PERDIDA;PALABRAS
F001;.22;211
F002;1;0
F003;.13;212
F004;.17;60
F005;.04;168
F006;.05;212
F007;.19;321
F008;.02;123
F009;.08;94
F010;.20;170
F011;.06;106
F012;.09;253
F013;.08;98
F014;.12;165
F015;.12;222
F016;.06;246
F017;.06;203
F018;.15;312
F019;.15;289
F020;.07;142
F021;1;0
F022;1;0
F023;.10;197
F024;.09;127
F025;.08;129
F026;.20;343
F027;.10;419
F028;.24;162
F029;.18;265
F030;.15;60
F031;.11;212
F032;.12;453
F033;.12;223
F034;.09;248
F035;1;0
F036;.07;129
F037;.10;219
F038;.08;208
F039;.21;20
F040;.04;11
F041;.01;205
F042;.06;345
F043;.11;401
F044;.04;125
F045;.03;471
F046;.07;121
F047;.03;326
F048;.17;198
F049;.15;288
F050;.12;199
F051;.09;124
F052;.88;33
F053;.13;352
F054;.03;231
F055;.05;876
F056;.07;343
F057;.33;572
F058;.26;264
F059;.30;26
F060;.03;224
F061;.05;252
F062;.02;231
F063;.06;423
F064;.05;371
F065;.05;216
F066;.05;246
F067;.02;356
F068;.02;97
F069;.02;105
F070;.02;350
F071;.02;274
F072;.02;103
F073;.04;287
F074;.14;172
F075;.14;212
F076;.09;76
F077;.03;261
F078;.03;67
F079;.03;89
F080;.03;212
F081;.04;342
F082;.25;2
F083;.17;41
F084;.07;465
F085;.17;127
F086;.05;351
F087;.34;352
F088;.16;352
F089;.16;69
F090;.10;853
F091;.02;67
F092;.07;67
F093;.23;67
F094;.26;67
F095;.09;67
F096;.04;67
F097;.05;67
F098;.02;67
F099;.04;67
F100;.48;67
F101;.04;67
F102;.07;67
F103;.02;259
F104;.03;231
F105;.05;262
F106;.06;176
F107;.08;210
F108;.06;246
F109;.14;456
F110;.15;69
F111;.12;312
F112;.04;169
F113;.07;276
F114;.32;379
F115;.17;328
F116;.21;153
F117;.17;137
F118;.18;187
F119;.11;157
F120;1;0
F121;.16;295
F122;.16;106
F123;.14;176
F124;.22;198
F125;.05;239
F126;.05;241
F127;.04;363
F128;.04;136
F129;.04;364
F130;1;0
F131;.21;62
F132;.21;204
F133;.18;863
F134;.10;35
F135;.08;252
F136;.11;686
F137;.12;461
F138;.10;461
F139;.11;461
F140;.14;267
F141;.03;71
F142;.10;74
F143;.02;74
F144;.05;66
F145;.12;175
F146;.12;535
F147;.19;19
F148;.10;129
F149;.04;205
F150;.04;209
F151;.23;206
F152;.25;81
F153;.07;562
F154;.15;318
F155;.04;76
F156;.03;598
F157;.18;520
F158;.01;346
F159;.23;132
F160;.15;82
F161;.10;670
F162;.14;146
